name,delta,delta_,mnnd,pd,spd,psv,psr,mpd
Im219_normal,16.607492831473724,16.229366290092894,731618903111.0,27.61586730567413,48479263.601006396,-20.280519759452687,-1967.2104166669108,1485.2715564033822
Im445_glaucoma,35.0495276542045,10.877415843905117,1655678828765.0,29.036138893573977,79912127.91712284,-14.557250225015203,-1892.4425292519763,2448.288232754989
Im344_glaucoma,22.105286905252935,1.1614753808597207,2157713824748.0,30.00323700725205,77496822.81918764,-12.9028152675364,-1277.3787114861036,2374.289914803543
Im057_normal,27.22266328181254,2.809325534313515,3123520580942.0,30.321475000445485,80324930.39021534,-15.339402311919445,-1856.0676797422527,2460.935367347284
Im167_normal,19.564843681121,0.9682652437597143,4063016065126.0,30.540996789849707,74531368.82079789,-27.207858187052114,-2611.954385957003,2283.4365447548375
Im433_glaucoma,25.824087916496584,1.2873126130800632,5313277994960.0,30.62705804568478,70945991.97037861,-38.70157215074129,-4102.366647978577,2173.5904402689525
Im438_glaucoma,23.00302365336728,0.3122635122622476,5996997042892.0,30.830435128959795,70801572.07673568,-11.360908442784174,-1340.5871962485326,2169.1658111745
Im447_glaucoma,20.117602447583764,0.5152902670484062,7047274017918.0,30.9450945976752,69630406.43552989,-18.03969608590986,-2074.565049879634,2133.28451089246
Im143_normal,23.787677784382225,0.35447200011155156,8025532771867.0,31.032068426700512,69896357.72429553,-16.520869604083753,-1965.9834828859666,2141.4325283178778
Im085_normal,26.251211143150613,0.45879597222858115,9209067665956.0,31.09343852838473,71825517.79274468,-20.820915899502666,-2436.047160241812,2200.5366970816385
Im168_normal,16.05812375819793,0.11242803556223548,10135603686063.0,31.14895628965436,69555730.19958885,-44.60518400707558,-3702.2302725872732,2130.996636016815
Im296_glaucoma,26.786784462982475,0.05456411863144869,10558701134665.0,31.2248737219727,69977147.48382695,-3.02657602553797,-466.09270793284736,2143.90770477411
Im114_normal,20.84804249503634,0.17838755139430856,11645139553344.0,31.256790494120274,69220024.80060188,-14.953147427142023,-1943.9091655284628,2120.711544136087
Im125_normal,31.704075651730143,0.19920939888457806,12520652033503.0,31.296186701326565,72294714.24060099,-9.288149630835072,-1272.476499424405,2214.9115882537067
Im322_glaucoma,19.01252809511179,0.018613619868434645,12935317149519.0,31.338446002819722,72084569.1822656,-10.107312203231492,-990.5165959166862,2208.473320535098
Im245_normal,27.83562430372595,0.11959360612734661,13903902266521.0,31.35645249929041,72340612.51833184,-10.518736149468708,-1577.8104224203062,2216.317785488108
Im150_normal,29.669373287781365,0.1588252039144279,14977815967444.0,31.374176244046854,73976477.73903851,-11.714950123944831,-1640.0930173522763,2266.4362052401507
Im153_normal,30.232857205448802,0.08752652611481382,15828574029317.0,31.39449739808127,74831058.9591519,-10.861429887602766,-1466.2930348263733,2292.6182279151926
Im253_normal,22.088841970609664,0.08138081817027046,16778051077995.0,31.412876313584448,74648871.08251277,-13.302669781738794,-1636.2283831538716,2287.036491498553
Im342_glaucoma,14.240782781130802,0.010663832677857478,17272150526039.0,31.43471227465738,74196892.93348347,-17.842963695292163,-1516.651914099834,2273.189121736626
Im347_glaucoma,11.233800719529142,0.03229872393104501,18349198289991.0,31.443995432248144,71760312.65084095,-97.38895103442852,-5940.726013100139,2198.5389905282154
Im440_glaucoma,28.276017237437003,0.06298044410121942,19308401757835.0,31.454598195055706,72112921.1040012,-20.089846601484528,-2290.242512569236,2209.3419455882718
Im339_glaucoma,36.05721429851432,0.017731934222301276,19734271435240.0,31.472072896927845,72523395.94188476,-3.9992708000052732,-575.8949952007594,2221.917767827352
Im305_glaucoma,32.884853441191886,0.003525377876431448,19949525566842.0,31.4893680697061,72568554.62863497,-2.303822499701582,-311.0160374597136,2223.3013060243557
Im391_glaucoma,34.01759406873319,0.0903580735952438,21002465176510.0,31.496072259783645,74528281.37332082,-12.406845469955472,-1724.5515203238106,2283.341953839486
